Citation,Entity Empowered,Triggering Event,Location
10 U.S.C. § 1060c,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 2350j,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 2632,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2808,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 7014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 7375,"Department of Labor,Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 8014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 8102,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8385,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 12006,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 12302,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
10 U.S.C. § 12311,"Department of Defense - Department of the Army,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both
16 U.S.C. § 440,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic
31 U.S.C. § 3522,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War",Both
33 U.S.C. § 2293,Department of Defense - Department of the Army,"NEA Emergency Declaration,Act of War,Declaration of War,Health Emergency",Both
38 U.S.C. § 8111A,"Department of Defense - Department of the Army,Department of Veterans Affairs","Act of War,Declaration of War,Presidential Major Disaster Declaration,Natural Disaster",Domestic
"50 U.S.C. §§ 403, 405.","Central Intelligence Agency,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,National Security Resources Board,Executive Office of the President of the United States - National Security Council",No triggering event - Capacity Building,Both
10 U.S.C. § 162 and 164 §§ 101(c); 331-335; 12301-12304; and 12406.,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Terrorism,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
"32 U.S.C 325, 502, 901-904","Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
18 U.S.C. §1385 ,"Department of Defense,Department of Defense - Department of the Army","Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations",Domestic
